C,Si,Mn,Cr,Sn,Cu,Ni,Mo,thickness ,ferrite,perlite ,carbides ,martensite ,ausferrite ,austenite ,copper,CLASS,perlit,węgliki,martenzyt,ausferryt,austenit,Wolna miedź,SUMA,ferryt,perlit.1,węgliki.1,martenzyt.1,ausferryt.1,austenit.1,Wolna miedź.1,kontrolka,Unnamed: 32,ferryt.1,ferryt.2,perlit.2,węgliki.2,martenzyt.2,ausferryt.2,austenit.2,Wolna miedź.2,Unnamed: 41
3.2,2.3,0.396,0.0,0.0,0.0,10.22,0.0,3,5.3,0.0,0.0,3,11,5,0,AN,0.004045,8.241686,6.168044,0.0,73.183568,0.0,35.60635,0,14,3,91,1,98,0,100,,2.2e-05,3.593572,24.823827,43.987453,3.627167,10.41912,0.000289,0.0,111.01575
3.18,2.26,0.02,0.0,0.003,0.0,6.0,0.0,16,0.0,21.3,0.6,2,100,5,0,FP,0.004045,12.734158,4.663338,0.0,3.553455,0.0,83.90548,10,0,0,0,97,98,0,100,,29.731432,2.2e-05,82.47067,8.063905,95.98867,19.84526,5.672716,0.0,115.80943
3.36,2.69,0.423,0.0,0.002,0.0,21.04,0.0,3,0.0,19.7,29.9,0,9,6,0,AN,94.95399,5.228602,0.00044,10.29704,4.438522,0.002126,125.40757,0,21,53,99,14,4,0,100,,0.554606,6.363044,53.639389,4.670752,0.00044,12.24329,0.000289,0.207612,153.7299
3.49,2.28,0.401,0.0,0.0,0.0,1.59,0.0,9,0.0,20.5,0.0,0,100,40,0,M,94.95399,0.614679,0.00044,10.24227,0.840495,0.124869,133.79881,29,72,0,4,20,6,0,100,,1.267634,2.322399,7.896972,8.25263,6.026073,100.0,4.299575,0.112243,80.02297
3.14,2.4,0.104,0.0,0.002,0.41,21.04,1.14,5,0.0,11.3,0.0,0,0,1,0,AF,12.24667,0.00138,0.00044,22.17472,9.629388,0.153298,109.94757,8,75,0,67,0,5,0,100,,14.96536,1.143276,94.95399,2.107638,6.130712,100.0,0.000289,0.0,80.02297
4.11,2.28,0.331,0.0,0.0,0.0,0.28,0.41,9,0.2,0.0,0.0,0,18,6,0,M,94.95399,6.972229,1.902247,0.0,88.430764,0.162148,99.66332,6,2,1,99,11,0,0,102,,3.894507,3.70639,30.95379,2.003827,95.98867,100.0,1.208812,0.097558,101.13987
2.9,2.43,0.052,0.0,0.001,0.05,18.25,0.0,3,0.0,99.0,0.0,0,100,0,0,M,30.373025,4.649574,1.92635,11.22453,6.129122,0.0,80.80761,0,10,2,84,0,0,0,100,,2.2e-05,2.404611,47.439155,12.759624,4.536002,15.2197,98.07675,0.101071,86.67048
2.9,2.64,0.358,0.0,0.006,0.18,0.77,0.19,12,0.0,25.7,0.0,0,9,7,0,M,0.089021,4.690769,3.105774,15.83863,0.000289,0.0,35.60635,9,13,9,4,18,5,0,101,,2.2e-05,2.2e-05,10.789355,14.066175,95.98867,90.75894,0.000289,0.0,153.7299
3.75,2.54,0.07,0.0,0.0,0.42,21.04,0.0,19,0.0,15.9,0.0,0,0,1,0,M,66.273466,10.205596,95.98867,0.0,0.000289,0.123629,125.08932,6,0,0,4,0,0,0,170,,6.579345,2.2e-05,36.84342,0.00138,7.354267,68.65469,98.07675,0.0,127.26292
2.74,2.48,0.371,0.11,0.006,0.0,1.84,0.99,4,1.9,0.0,0.0,0,100,55,0,AN,94.95399,0.00138,0.00044,68.67358,0.000289,0.10324,148.76314,0,0,2,2,22,98,0,100,,4.327418,2.2e-05,23.382776,13.57103,0.00044,80.01781,0.000289,0.0,80.02297
2.73,2.62,0.324,0.0,0.007,0.22,4.13,0.22,24,28.4,22.6,0.0,7,100,6,0,M,94.95399,0.00138,0.00044,0.0,0.000289,0.0,91.03301,5,0,0,1,75,3,0,100,,12.059114,1.937418,0.004045,48.488102,95.98867,82.58626,69.30806,0.0,80.02297
3.88,2.3,0.459,0.0,0.0,0.08,21.04,0.0,14,1.6,20.2,0.0,96,4,100,0,AN,21.495062,0.00138,0.00044,11.83357,13.692676,0.123061,57.39079,10,99,15,40,0,2,0,100,,0.838216,2.2e-05,0.004045,30.708372,0.00044,0.0,3.54419,0.0,110.61152
3.61,2.38,0.434,0.0,0.0,0.09,0.0,0.0,18,0.0,99.0,5.7,7,62,0,0,AN,15.820236,9.162569,0.00044,24.20384,0.000289,0.0,105.00799,4,0,0,0,0,0,0,100,,2.2e-05,2.2e-05,23.989802,0.00138,3.529836,12.39926,5.020302,0.0,119.56754
3.1,2.48,0.29,0.0,0.0,0.45,0.0,0.0,12,1.0,14.7,0.0,6,14,16,0,AN,25.577365,7.948256,0.00044,83.02878,0.000289,0.227578,138.29573,3,0,7,99,6,8,0,115,,62.46501,2.2e-05,11.542194,1.78082,59.95151,73.65381,0.000289,0.102335,88.75334
3.06,2.73,0.376,0.13,0.0,0.34,21.04,1.07,10,0.0,89.4,0.0,0,12,5,0,AN,94.95399,4.385872,0.00044,0.0,0.000289,0.159,119.22964,4,50,0,99,0,2,0,125,,2.2e-05,0.852011,0.004045,0.00138,0.00044,8.53735,0.000289,0.14616,94.8859
2.87,2.69,0.02,0.08,0.005,0.0,0.0,0.11,22,2.7,99.0,0.0,7,78,0,0,AN,18.543908,12.510107,7.672636,11.37151,3.632128,0.0,119.28905,10,0,0,99,14,78,0,100,,2.2e-05,0.336086,9.775698,0.00138,95.98867,88.26183,5.291608,0.058793,92.6768
2.87,2.43,0.205,0.05,0.005,0.0,14.02,0.0,11,6.4,27.4,1.5,96,0,0,0,AN,15.201535,4.540467,0.00044,0.0,0.000289,0.0,57.36596,2,74,10,0,9,3,0,100,,2.2e-05,2.2e-05,94.95399,2.213026,0.00044,0.0,1.755343,0.119013,126.26897
2.98,2.73,0.118,0.05,0.005,0.0,0.71,0.0,11,0.0,26.1,4.8,0,14,5,0,M,18.969694,4.310589,3.061967,0.0,16.623778,0.141381,110.14579,0,0,0,7,0,0,0,109,,37.773091,3.996277,0.004045,13.95723,0.00044,0.0,0.000289,0.163068,83.56616
3.14,2.2,0.098,0.0,0.0,0.0,21.04,0.0,10,0.0,0.0,0.0,0,0,5,0,AF,91.701637,4.188831,0.00044,100.0,4.694167,0.0,35.60635,0,2,2,0,15,0,0,100,,62.462647,2.2e-05,30.466597,0.00138,0.00044,8.95224,4.999272,0.121936,126.5898
3.67,2.47,0.104,0.0,0.004,0.33,21.04,0.77,12,0.0,27.8,0.0,4,14,2,0,M,94.95399,6.260347,0.00044,100.0,2.518292,0.084639,104.80323,0,0,0,99,0,0,0,100,,2.2e-05,2.2e-05,22.25232,12.40939,7.341123,0.0,2.921933,0.072294,138.25892
2.98,2.25,0.02,0.12,0.0,0.0,1.36,0.69,3,0.0,9.4,4.9,0,100,2,0,M,17.278278,3.515606,0.00044,10.68535,4.800281,0.175998,79.64161,0,1,0,7,80,5,0,100,,2.2e-05,6.346863,0.004045,9.804424,4.051664,0.0,0.669781,0.216592,131.05624
3.82,2.54,0.356,0.0,0.0,0.0,21.04,0.85,10,0.9,10.8,0.0,0,0,7,0,M,92.679357,0.00138,0.662957,5.37401,0.745236,0.0,35.60635,0,0,0,99,81,6,0,100,,2.2e-05,4.083071,0.004045,13.441878,5.400617,0.0,0.000289,0.169741,123.85603
3.32,2.4,0.2,0.0,0.0,0.54,21.04,2.44,3,0.0,17.2,14.7,1,7,100,0,M,7.880577,6.956906,3.676279,100.0,97.263879,0.0,95.3604,4,100,5,5,97,5,0,100,,2.2e-05,1.957931,1.310109,10.262311,95.98867,95.66625,0.465233,0.076466,92.28304
3.17,2.54,0.411,0.06,0.0,0.09,18.41,0.14,10,0.0,11.4,31.5,0,94,0,0,AN,0.004045,10.149931,7.695343,1.34537,5.338517,0.220205,38.82875,0,13,0,99,5,67,0,100,,4.020983,3.026817,0.004045,5.557538,5.550576,0.0,0.000289,0.196652,80.02297
3.12,2.33,0.336,0.0,0.0,0.03,18.71,0.24,19,0.0,0.0,0.7,0,0,6,0,M,94.95399,3.4507,1.35653,11.84693,0.842438,0.186805,132.99488,6,0,9,5,19,6,0,111,,33.476554,2.2e-05,19.689023,6.017865,7.000508,100.0,0.000289,0.0,99.60388
3.67,2.3,0.272,0.0,0.0,3.18,0.0,0.0,3,0.0,0.0,0.0,2,0,6,0,AF,0.501207,0.314035,6.838256,18.59048,0.000289,0.066621,135.36895,0,0,0,99,6,1,0,100,,2.2e-05,20.686534,24.57143,0.547197,7.437869,20.94325,0.000289,0.0,80.02297
2.99,2.21,0.281,0.11,0.0,0.0,21.04,1.35,3,0.0,15.8,4.3,4,0,6,0,AN,0.004045,0.424958,5.103342,80.67279,3.175699,0.0,126.17477,0,100,0,0,9,6,0,100,,4.485721,5.044597,16.4067,0.00138,4.967794,100.0,98.07675,0.161284,132.34061
3.19,2.63,0.088,0.0,0.001,0.0,0.0,2.44,3,2.7,23.5,0.0,6,0,0,0,M,94.95399,12.557446,0.00044,0.0,0.000289,0.0,96.25376,0,0,12,0,0,4,0,100,,2.2e-05,3.431915,12.354572,5.191476,2.794117,0.0,5.751397,0.132746,107.87979
3.69,2.6,0.226,0.01,0.0,0.47,2.73,0.12,3,0.0,10.2,0.0,0,0,35,0,AN,0.773314,55.300235,6.140321,2.64624,4.249108,0.072786,100.1944,0,0,0,0,9,0,0,100,,17.040732,2.2e-05,74.781623,3.269215,3.524331,0.0,2.82969,0.102465,113.80944
3.56,2.21,0.02,0.15,0.0,0.02,21.04,0.4,15,0.0,6.0,0.0,1,0,0,0,AF,0.004045,8.361862,6.226636,0.0,0.000289,0.0,115.09083,5,12,9,4,96,1,0,100,,2.2e-05,6.581359,7.88815,0.00138,95.98867,0.0,3.504652,0.112296,80.02297
3.75,2.24,0.348,0.0,0.002,0.22,8.84,0.35,24,0.0,27.4,14.7,0,100,4,0,AN,94.95399,28.151598,6.776884,0.0,0.000289,0.0,118.01651,6,0,10,7,74,0,0,100,,2.2e-05,1.154164,0.004045,8.607851,0.00044,10.33918,2.114942,0.0,80.02297
2.96,2.47,0.326,0.17,0.0,0.0,0.0,0.0,11,0.0,14.9,0.0,0,0,100,0,M,0.004045,30.824083,95.98867,3.80781,5.121797,0.0,146.20145,9,15,0,6,12,0,0,100,,24.611652,2.2e-05,8.233342,4.586678,95.98867,4.07938,94.441461,0.155787,80.02297
3.62,2.54,0.435,0.0,0.002,0.04,0.0,1.52,8,55.9,21.7,0.0,0,20,4,0,AF,94.95399,0.00138,0.00044,16.22847,0.000289,0.088693,142.17395,1,23,10,0,62,5,0,100,,5.396299,3.935872,13.957516,0.00138,1.112204,0.0,0.911518,0.149913,91.73091
3.26,2.73,0.332,0.0,0.001,0.13,0.0,0.0,3,0.0,20.1,0.0,0,47,5,0,AF,0.004045,55.324878,3.483873,20.73892,0.000289,0.0,53.05598,0,3,0,99,1,31,0,100,,6.639199,4.765701,24.128264,0.00138,4.200663,0.0,0.000289,0.199115,136.81993
3.55,2.6,0.287,0.74,0.0,0.14,0.0,0.0,5,2.8,0.0,0.0,0,20,7,0,AF,94.95399,7.406002,0.385124,0.0,0.000289,0.0,140.31556,0,81,0,4,12,4,0,100,,6.515416,0.492265,21.106393,0.00138,3.258382,11.8209,3.349338,0.209245,88.92631
2.89,2.08,0.02,0.0,0.0,0.0,0.0,1.48,17,0.0,99.0,0.0,1,100,1,0,M,20.405743,3.359638,0.00044,0.0,0.000289,0.175411,130.7006,6,6,0,73,95,4,0,105,,2.2e-05,4.394455,16.895517,0.949031,0.00044,0.0,0.000289,0.027116,126.03477
3.68,2.63,0.345,0.06,0.0,0.0,21.04,0.0,9,4.1,53.4,0.0,96,14,87,0,AN,94.95399,10.394304,95.98867,0.0,4.964017,0.0,117.33346,0,0,0,0,0,98,0,100,,13.066179,4.87765,22.033062,0.00138,3.749693,0.0,3.236027,0.134317,116.71772
3.73,2.73,0.143,1.5,0.0,0.3,20.61,0.0,19,6.0,27.8,7.4,96,100,2,0,AN,23.436299,8.828428,6.541913,1.62689,0.000289,0.0,137.85444,0,26,0,7,0,0,0,100,,2.2e-05,6.077381,17.495547,0.00138,95.98867,0.0,4.991555,0.026379,122.37177
3.36,2.35,0.364,0.0,0.0,0.14,0.0,2.1,6,3.4,22.3,0.7,67,100,7,0,M,13.058925,7.628102,0.733453,0.0,0.000289,0.145949,135.63624,0,0,1,0,0,98,0,100,,0.751167,62.46501,94.95399,12.028723,0.00044,0.0,0.000289,0.04894,81.02323
3.7,2.27,0.459,1.22,0.0,0.0,0.0,0.0,18,0.0,0.0,0.0,0,0,4,0,M,13.669263,0.00138,1.003141,4.89732,4.178681,0.01302,95.66235,0,0,0,0,0,0,0,103,,2.2e-05,5.520477,0.004045,0.00138,0.00044,0.0,0.000289,0.809102,102.8381
3.74,2.34,0.077,0.0,0.0,0.39,6.2,1.38,9,0.0,16.7,0.0,0,65,5,0,M,37.164144,8.196774,3.003478,0.0,0.000289,0.152971,71.15676,9,54,8,0,97,3,0,100,,25.072583,2.2e-05,19.671412,13.520121,7.44576,100.0,98.07675,0.087093,105.43447
2.99,2.56,0.277,0.0,0.004,0.0,0.0,0.68,8,5.0,23.6,3.8,2,100,7,0,FP,22.424361,11.479876,0.00044,76.62701,2.1298,0.063628,109.39459,0,72,6,97,1,2,0,100,,1.148672,2.2e-05,0.776092,12.538541,0.00044,81.76049,0.000289,0.01279,93.15996
3.37,2.58,0.22,0.1,0.0,0.0,0.0,0.02,3,0.0,4.9,6.6,0,100,5,0,AN,94.95399,1.003532,0.171405,7.78881,0.000289,0.078571,104.08522,0,0,0,72,0,5,0,100,,2.2e-05,62.46501,0.004045,0.00138,0.00044,0.0,5.138475,0.10821,121.50244
3.86,2.34,0.02,0.0,0.0,0.0,0.0,0.0,14,5.1,24.6,7.4,0,0,0,0,M,12.9019,3.301784,95.98867,19.39361,1.785668,0.0,72.66044,4,14,0,77,12,93,0,100,,2.2e-05,6.671926,10.200566,0.00138,0.00044,4.89691,4.490813,0.0,93.67633
3.71,2.46,0.197,0.15,0.0,2.2,0.0,0.03,22,28.7,0.0,4.9,0,100,1,0,AN,94.95399,57.12141,1.378482,91.40626,0.000289,0.189323,124.62627,4,0,11,6,0,0,0,100,,5.232968,0.019678,2.226467,3.555953,0.00044,0.0,0.000289,0.16623,124.7877
3.19,2.36,0.076,0.0,0.0,0.0,21.04,0.74,7,1.7,21.1,0.0,96,0,6,0,AF,24.038815,0.00138,0.00044,3.33259,3.669575,0.142849,62.34647,4,11,0,32,0,6,0,134,,4.342639,6.333049,94.95399,9.289903,0.00044,0.0,0.000289,0.188715,113.43661
2.88,2.31,0.349,0.16,0.0,0.0,0.0,0.0,20,0.0,17.4,0.0,1,2,6,0,M,0.004045,11.717538,0.00044,7.12918,4.243899,0.215272,140.8043,9,9,0,0,64,2,0,100,,5.542437,0.954183,6.993694,8.467421,5.977536,100.0,1.813462,0.030944,91.50796
3.16,2.28,0.095,0.1,0.004,0.0,0.59,0.0,8,1.7,0.0,0.0,0,0,4,0,FP,94.95399,9.592865,0.00044,9.5213,4.400502,0.19536,107.74224,11,10,0,0,14,98,0,100,,2.925153,2.2e-05,0.004045,4.485307,5.332828,23.67238,0.000289,0.0,100.41053
2.87,2.29,0.101,0.17,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0,18,5,0,AN,0.004045,57.12141,0.00044,100.0,0.000289,0.0,121.86124,44,20,0,28,16,6,0,100,,2.2e-05,0.17791,94.95399,0.381468,38.939423,19.1048,0.000289,0.104801,107.71514
3.91,2.73,0.248,0.0,0.0,0.0,0.99,0.0,24,4.4,22.0,0.1,0,5,4,0,M,12.112751,0.00138,0.00044,0.0,0.000289,0.0,100.12367,0,62,0,7,0,98,0,125,,2.2e-05,4.622416,1.451398,6.213263,57.842673,100.0,0.000289,0.021042,83.2264
4.02,2.23,0.461,0.06,0.0,0.0,0.0,0.03,8,4.4,6.5,0.0,0,100,3,0,AN,0.004045,1.285471,0.00044,8.49506,0.696072,0.0,35.60635,6,61,0,99,18,33,0,100,,2.2e-05,2.773372,20.410013,1.71761,0.00044,17.0037,2.001012,0.03612,106.74196
2.85,2.35,0.02,0.16,0.0,0.14,0.0,0.0,14,29.9,43.6,0.0,0,0,6,0,AF,63.314692,0.00138,1.444969,100.0,0.000289,0.0,115.77568,13,100,9,0,97,6,0,100,,1.23246,2.2e-05,24.681323,14.407264,95.98867,5.18728,3.511518,0.143614,80.02297
3.6,2.3,0.02,0.0,0.0,0.0,0.74,1.48,3,0.0,99.0,2.5,5,63,9,0,AN,8.610516,0.00138,80.57597,20.30408,4.375027,0.104434,78.39979,12,22,0,0,97,1,0,100,,2.2e-05,2.2e-05,9.185619,8.490397,5.316395,100.0,5.633454,0.0,83.42348
3.06,2.4,0.02,0.0,0.0,0.0,6.74,0.0,24,6.9,6.2,0.0,2,0,6,0,M,14.268653,0.00138,2.837155,7.5338,0.000289,0.0,76.90594,4,0,1,99,18,1,0,100,,2.2e-05,5.914616,10.330408,11.784335,1.994166,0.0,0.000289,0.227416,92.60172
2.86,2.32,0.023,0.92,0.0,0.0,0.0,0.0,24,0.0,99.0,0.0,0,5,5,0,FP,20.454643,10.481344,5.328295,0.0,4.718575,0.0,119.59161,0,29,0,99,97,0,0,100,,2.2e-05,6.305739,0.004045,0.00138,0.00044,74.41187,1.161374,0.092599,113.12763
3.08,2.73,0.45,0.0,0.0,0.07,20.58,0.0,17,0.0,19.2,0.0,0,100,0,0,AF,46.538526,0.00138,1.227678,100.0,0.000289,0.0,116.44997,4,27,0,88,0,5,0,104,,39.133421,2.621804,2.45553,0.00138,0.00044,100.0,0.000289,0.0,133.57514
3.64,2.19,0.334,0.09,0.002,0.0,0.0,0.08,8,6.9,23.1,0.0,0,8,0,0,AN,94.95399,2.246906,0.00044,76.24649,3.931697,0.102727,137.55166,12,0,0,94,17,98,0,100,,2.2e-05,4.946104,4.938313,12.686488,0.00044,19.44758,0.000289,0.07595,94.18278
3.59,2.73,0.304,0.0,0.0,0.05,0.65,0.0,3,0.0,8.1,0.0,0,0,3,0,AN,0.004045,0.00138,0.00044,24.87624,0.460356,0.103899,35.60635,31,0,3,2,13,2,0,100,,50.687225,2.2e-05,5.732189,0.00138,0.00044,0.0,2.486457,0.033865,99.04832
3.07,2.68,0.877,0.0,0.001,0.0,2.38,0.0,22,0.0,23.3,6.8,0,0,0,0,M,60.570794,13.062323,7.415896,0.0,0.000289,0.0,35.60635,0,4,0,99,69,4,0,104,,2.2e-05,1.78988,0.004045,0.00138,95.98867,100.0,5.378165,0.0,108.14447
2.9,2.46,0.099,0.0,0.0,0.12,0.0,0.0,4,2.4,99.0,0.0,0,7,6,0,M,14.873564,6.691651,0.00044,81.30182,0.000289,0.11976,135.75605,0,0,5,0,0,0,0,103,,0.728866,2.2e-05,24.066689,10.203835,95.98867,0.0,0.000289,0.03429,80.02297
3.1,2.73,0.314,0.0,0.002,0.0,21.04,0.0,18,0.0,4.1,3.4,0,14,1,0,M,94.95399,0.00138,7.017075,86.80896,1.083643,0.032322,146.07022,6,12,0,6,0,0,0,100,,2.2e-05,4.320561,6.454428,0.00138,3.619651,6.93127,0.000289,0.124369,83.22237
3.26,2.35,0.02,0.0,0.079,0.0,17.61,0.37,24,4.0,4.9,4.1,7,19,4,0,AN,91.586423,13.095124,4.455448,22.34447,5.07721,0.0,71.49029,0,10,0,99,9,0,0,100,,2.2e-05,3.171279,0.004045,0.00138,0.00044,22.22145,6.209891,0.004483,128.01017
3.32,2.32,0.332,0.12,0.0,0.0,20.05,0.0,8,4.9,6.4,5.0,58,96,6,0,FP,2.0588,9.411229,0.00044,100.0,0.74427,0.108332,128.46503,10,1,0,0,1,98,0,100,,1.923276,2.2e-05,4.599737,9.053596,95.98867,12.20463,98.07675,0.114224,94.30288
3.01,2.53,0.148,0.0,0.0,0.15,0.0,0.74,24,3.2,53.1,0.0,0,0,100,0,AN,0.004045,6.849567,5.502423,0.0,0.000289,0.024493,129.88653,0,0,0,0,0,1,0,100,,2.236095,0.854654,22.569593,0.00138,0.00044,5.30008,0.000289,0.208881,125.66852
3.47,2.71,0.02,0.08,0.001,2.28,0.0,0.0,5,0.0,20.6,0.0,0,17,6,0,FP,94.95399,8.265933,0.00044,0.0,0.000289,0.154923,103.82751,11,0,5,0,0,2,0,100,,2.320024,2.2e-05,10.98884,0.00138,0.00044,0.0,4.766691,0.201746,127.31938
3.85,2.33,0.336,0.0,0.0,0.12,0.09,1.34,3,0.0,11.0,0.0,4,0,0,0,M,10.055879,8.346106,0.00044,0.0,0.000289,0.0,98.91933,4,0,0,0,6,0,0,103,,2.2e-05,2.365622,94.95399,0.00138,0.466689,98.37008,4.055491,0.0,118.70433
3.03,2.26,0.09,0.14,0.004,0.0,0.0,0.0,11,0.0,99.0,3.1,0,100,0,0,AN,70.264018,0.00138,0.00044,0.0,98.07675,0.0,105.89594,0,23,0,5,0,69,0,100,,2.2e-05,3.864182,1.479251,10.073735,5.041782,0.0,0.000289,0.112762,90.98552
2.94,2.73,0.202,0.0,0.007,0.46,5.18,0.0,3,0.0,99.0,4.8,18,0,0,0,M,21.251264,13.416964,3.158046,100.0,0.504373,2.504631,82.58941,10,0,0,0,16,1,0,100,,2.2e-05,2.2e-05,75.505803,4.395916,0.00044,22.43775,4.748104,0.0,102.35195
3.82,2.38,0.329,0.0,0.0,0.0,21.04,0.03,10,20.9,99.0,60.0,0,0,5,0,AN,94.95399,57.12141,1.33279,17.49797,5.830252,0.0,80.29305,7,0,0,99,4,30,4,100,,2.2e-05,1.35298,0.004045,53.821028,95.98867,97.46795,98.07675,0.0,107.29783
3.3,2.08,0.459,0.0,0.0,0.0,16.09,1.15,9,0.0,16.1,3.2,5,13,7,0,FP,94.95399,5.372252,0.00044,0.0,0.000289,0.11808,97.71015,0,35,5,2,12,4,0,100,,2.2e-05,2.2e-05,51.888853,3.970492,0.00044,100.0,3.235919,0.097032,80.02297
2.92,2.21,0.02,0.06,0.0,0.0,0.0,0.62,6,4.1,81.9,0.0,0,8,5,0,M,10.602861,12.815218,5.276186,67.53721,0.000289,0.0,138.42956,0,12,0,0,0,5,0,100,,2.2e-05,5.602248,0.004045,0.00138,0.00044,100.0,3.373936,0.181226,101.31564
2.86,2.73,0.062,0.0,0.005,1.7,7.16,0.99,17,5.3,19.6,0.0,0,18,6,0,AN,0.004045,57.12141,0.00044,14.08455,98.07675,0.15727,66.27351,0,24,0,0,97,98,0,100,,2.659412,6.08841,63.213029,11.679035,0.00044,69.63181,11.716074,0.120783,123.15975
3.45,2.4,0.02,0.0,0.006,0.38,0.84,0.0,3,0.0,17.4,0.0,0,12,100,0,M,94.49465,7.439632,1.793197,100.0,67.226926,0.17558,118.40648,7,11,22,5,8,2,0,100,,2.2e-05,2.2e-05,74.982352,5.822012,0.00044,0.0,0.000289,0.0,117.0326
3.76,2.58,0.35,0.0,0.003,0.0,0.18,0.0,16,0.0,23.4,5.7,0,20,100,0,M,16.193736,1.427411,0.00044,100.0,0.000289,0.076772,101.73033,1,96,32,0,5,98,0,100,,0.214347,2.2e-05,0.004045,4.63814,2.247128,0.0,4.287893,0.216894,136.33499
2.82,2.47,0.151,0.0,0.0,0.0,1.9,1.83,11,0.0,15.0,9.9,5,17,6,0,M,26.180454,11.972372,0.00044,0.0,0.000289,0.0,132.49445,0,24,11,8,94,98,0,100,,5.265436,2.2e-05,18.353297,0.00138,2.336769,0.0,4.429016,0.0,92.90795
4.24,2.41,0.353,0.05,0.0,0.34,0.35,0.0,3,0.0,15.0,1.8,4,76,2,0,M,94.95399,0.00138,0.00044,100.0,0.000289,0.0,111.44037,20,0,1,0,7,2,0,132,,1.033959,2.864239,20.375682,8.077842,6.267598,0.83563,4.239661,0.060324,94.59522
3.18,2.73,0.169,0.0,0.0,0.02,16.39,0.27,11,0.0,0.0,0.0,0,84,24,0,AN,94.95399,11.436434,4.608637,0.0,2.143129,0.0,105.12028,0,0,0,0,97,98,0,100,,1.913063,2.2e-05,57.356403,6.128971,0.00044,0.0,98.07675,0.0,113.33815
2.97,2.24,0.292,0.15,0.0,0.0,0.68,0.0,13,0.0,9.5,4.5,96,12,100,0,AF,22.791765,3.045461,0.00044,18.99804,5.049579,0.06816,134.39539,0,0,0,49,0,6,0,100,,2.932683,1.455455,60.57707,0.00138,0.00044,8.39095,4.989924,0.147905,109.55865
2.81,2.73,0.02,0.0,0.002,0.24,0.0,0.0,24,0.0,17.7,0.0,4,3,5,0,M,87.121693,11.675762,7.010996,0.0,0.000289,0.182848,121.87357,3,11,0,0,0,98,0,100,,2.2e-05,2.2e-05,11.845146,10.717633,5.598275,14.64084,0.336143,0.147255,127.18099
3.28,2.51,0.199,0.09,0.0,0.37,0.0,0.0,3,0.0,25.3,0.0,0,0,7,0,M,0.004045,8.967483,2.371281,90.85198,98.07675,0.028956,132.95317,10,2,53,0,0,3,0,100,,0.499556,2.2e-05,20.589698,11.403905,95.98867,17.45913,0.000289,0.0,81.74694
2.82,2.68,0.241,0.0,0.0,0.0,0.0,1.46,24,5.4,97.0,2.3,0,20,5,0,AN,18.024298,6.508674,0.00044,0.0,51.72759,0.0,92.18554,0,5,2,0,0,2,0,100,,2.2e-05,2.2e-05,0.004045,6.459144,0.00044,80.3034,98.07675,0.11872,86.60528
3.89,2.62,0.182,0.02,0.0,0.0,0.0,0.0,24,1.3,0.0,0.0,1,0,0,0,AN,36.578944,8.658079,5.817203,15.49431,0.173959,0.0,135.10945,0,0,0,99,97,1,0,112,,46.319752,3.995627,25.928441,0.765167,95.98867,0.0,0.000289,0.0,137.44804
4.24,2.24,0.451,0.0,0.0,0.0,21.04,0.1,19,0.0,10.2,0.0,0,4,5,0,M,21.279477,10.921871,5.982836,10.0493,4.197501,0.0,130.34619,8,0,6,99,18,0,0,100,,1.306629,3.40897,94.95399,0.00138,4.823304,100.0,5.297851,0.0,89.2864
3.7,2.35,0.406,0.0,0.0,0.0,1.6,0.39,13,0.0,96.8,2.3,0,12,7,0,M,10.4803,7.686675,2.799151,23.25379,1.170919,0.0,71.76982,5,0,0,6,22,3,0,100,,31.77574,1.848481,17.300882,1.135417,6.831309,12.11474,4.916442,0.19233,82.12592
3.21,2.41,0.242,0.0,0.0,0.0,0.0,1.19,14,5.2,20.0,29.4,0,8,6,0,AN,94.95399,9.864188,0.00044,100.0,98.07675,0.0,102.28192,3,21,9,7,4,3,0,100,,32.489441,2.2e-05,94.95399,4.466114,0.00044,4.27595,2.804415,0.02136,130.28656
3.25,2.22,0.33,0.0,0.0,0.0,0.0,0.17,9,0.0,8.0,0.0,0,0,4,0,M,92.405574,8.99025,5.985357,0.0,47.055864,0.0,136.32371,3,16,0,99,20,66,0,104,,2.2e-05,14.575256,17.68848,7.681005,4.358805,6.38323,0.000289,0.0,111.09367
3.58,2.29,0.457,0.09,0.0,0.0,21.04,0.0,24,0.0,20.4,0.0,0,77,3,0,M,11.902525,0.00138,0.00044,19.12407,0.000289,0.0,92.55119,0,0,0,66,0,4,0,120,,2.2e-05,3.881573,3.489796,0.00138,0.00044,8.76876,98.07675,0.122965,119.48003
3.58,2.28,0.28,0.13,0.0,0.0,0.0,1.32,24,1.4,29.9,6.9,0,85,4,0,AF,0.954383,8.843997,0.00044,100.0,1.356565,0.028911,118.51636,0,0,0,41,56,5,0,100,,5.580148,2.2e-05,94.95399,3.737501,3.512187,15.50916,43.859169,0.140554,80.02297
3.29,2.7,0.419,0.0,0.005,0.0,0.0,0.9,10,4.2,14.3,1.1,0,7,100,0,M,94.95399,0.00138,0.00044,18.33857,3.993256,0.0,91.43455,0,3,53,5,85,2,0,123,,58.061156,5.060735,0.004045,13.525794,5.240872,0.0,0.000289,0.180474,132.21156
